name,lat,lon,osm_id,district
Грин Пелас,55.5684036,37.5646238,317558920,ЮАО
Планета,55.6458584,37.5175147,470842295,ЮЗАО
Аладдин,55.646632,37.7459974,1300404465,ЮВАО
Кафе Дяди Сэма,55.7322601,37.6403506,2558872816,ЦАО
Наследие,55.3746765,37.5272106,3170310766,ЮЗАО
Седьмая луза,55.8970441,37.3897101,3185905167,СЗАО
Империя биллиардный клуб,55.7848375,37.5581353,3372055204,САО
Лига,55.6286903,37.7409488,4368563607,ЮВАО
Космик,55.8898906,37.538075,5057521227,САО
Изумруд,55.6456544,37.7436429,5231336181,ЮВАО
Дуплет,55.6830459,37.730146,6206229906,ЮВАО
7 луза,55.4866755,37.3054425,6594535885,ЮЗАО
"Бильярдный клуб ""Олимп""",55.8031835,37.5615504,7235353311,САО
,55.7107225,37.5784461,7630345585,ЦАО
15й шар,55.762423,37.6608726,7884512741,ЦАО
Фора,55.8104987,37.656671,8899871383,СВАО
Удача,55.8516597,37.4212354,10158974244,СЗАО
,55.7194626,37.5448068,11201669762,ЮЗАО
Супердом,55.7355073,37.632338,11470173749,ЦАО
Klubique,55.7727204,37.6102803,12277383025,ЦАО
Бильярдная,55.995171,37.5368821,12309095761,САО
Легенда,55.7979516,37.6975798,12952500440,СВАО
Дом русского бильярда «Родина»,55.8006312,37.5813934,13042682777,САО
Billie,55.7665868,37.6206194,13058069115,ЦАО
Витязь,55.7429681,37.4811695,13092868301,ЮЗАО
Sova,55.7351692,37.6653674,13190988964,ЦАО
KG,55.5959949,37.5923845,13516542613,ЮАО
Мечта,55.8934797,37.4811034,13755961242,СЗАО
Империя,55.785081,37.7207026,13818356575,СВАО
